City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lihue,21.9789,-159.3672,27.58,73,40,8.75,US,1714965038
83,knyaze-volkonskoye,48.4642,135.4567,12.19,50,82,8.94,RU,1714965321
84,dolzhanskaya,46.6311,37.8039,12.94,47,0,3.15,RU,1714965322
85,jamestown,42.097,-79.2353,15.8,100,100,3.09,US,1714965322
86,maragogi,-9.0122,-35.2225,26.25,86,60,3.95,BR,1714965323
87,champerico,14.3,-91.9167,29.85,73,36,1.96,GT,1714965323
88,akureyri,65.6835,-18.0878,2.96,70,20,3.6,IS,1714965324
89,raduzhnyy,62.0961,77.475,-1.83,87,100,7.17,RU,1714965324
90,wailua homesteads,22.0669,-159.378,27.24,79,40,8.75,US,1714965325
91,george town,5.4112,100.3354,31.96,70,20,2.57,MY,1714965242
92,baiyin,36.5583,104.2081,18.98,15,34,2.27,CN,1714965326
93,san francisco telixtlahuaca,17.3,-96.9,21.79,61,86,1.79,MX,1714965326
94,isafjordur,66.0755,-23.124,1.11,74,5,3.85,IS,1714965265
95,utrik,11.2278,169.8474,27.46,79,90,7.46,MH,1714965327
96,tolanaro,-25.0319,46.9987,19.09,81,1,5.04,MG,1714965328
97,margate,51.3813,1.3862,12.39,87,30,2.23,GB,1714965217
98,san patricio,28.017,-97.5169,26.58,78,97,5.23,US,1714965329
99,papao,-17.75,-149.55,30.37,80,3,10.03,PF,1714965329
100,kingston,17.997,-76.7936,28.53,74,40,6.69,JM,1714965056
101,bengkulu,-3.8004,102.2655,29.2,71,7,1.62,ID,1714965263
102,carnarvon,-24.8667,113.6333,23.63,43,0,7.87,AU,1714965077
103,kodinsk,58.6881,99.1844,19.13,49,100,4.17,RU,1714965331
104,puerto baquerizo moreno,-0.9,-89.6,23.0,88,45,3.27,EC,1714965332
105,coro,11.4045,-69.6734,28.29,77,100,4.25,VE,1714965257
106,sitka,57.0531,-135.33,7.94,66,75,2.06,US,1714965333
107,pahrump,36.2083,-115.9839,14.97,14,3,0.89,US,1714965333
108,uturoa,-16.7333,-151.4333,28.1,79,8,8.31,PF,1714965274
109,hobyo,5.3505,48.5268,27.96,72,97,4.22,SO,1714965334
110,new plymouth,-39.0667,174.0833,15.17,75,9,3.91,NZ,1714965335
111,port mathurin,-19.6833,63.4167,26.16,62,1,9.22,MU,1714965247
112,berezovyy,51.6667,135.7,9.83,44,93,4.07,RU,1714965297
113,devils lake,48.1128,-98.8651,13.99,54,0,5.14,US,1714965336
114,juruti,-2.1522,-56.0922,26.07,90,100,1.9,BR,1714965337
115,lago da pedra,-4.3333,-45.1667,25.32,80,100,0.22,BR,1714965337
116,kayangel,8.0823,134.7173,28.7,68,5,4.98,PW,1714965264
117,lichuan,30.3,108.85,23.57,42,50,0.45,CN,1714965338
118,hermanus,-34.4187,19.2345,13.22,74,31,5.35,ZA,1714965238
119,sovetskaya gavan',48.9723,140.2878,3.39,99,100,2.97,RU,1714965339
120,romorantin-lanthenay,47.4167,1.8333,11.81,94,100,2.57,FR,1714965340
121,kodiak,57.79,-152.4072,5.73,81,100,7.2,US,1714965340
122,vetluga,57.8557,45.781,0.84,92,100,5.91,RU,1714965341
123,kabinda,-6.1333,24.4833,19.31,77,2,1.56,CD,1714965341
124,anna regina,7.2644,-58.5077,26.78,84,100,2.84,GY,1714965342
125,kittila,67.6647,24.8936,-1.92,74,100,4.12,FI,1714965250
126,ha'il,27.5219,41.6907,21.01,32,0,6.17,SA,1714965343
127,laojunmiao,39.8333,97.7333,19.19,8,66,9.93,CN,1714965253
128,kiunga,-6.1219,141.2906,26.22,87,100,0.86,PG,1714965344
129,touros,-5.1989,-35.4608,26.53,84,79,6.01,BR,1714965141
130,tateyama,34.9833,139.8667,20.47,76,100,7.93,JP,1714965345
131,katabu,-4.9333,122.5167,24.0,100,100,1.76,ID,1714965346
132,west valley,46.5921,-120.6051,13.47,51,75,8.75,US,1714965253
133,sao vicente,-23.9631,-46.3919,29.1,26,0,1.58,BR,1714965165
134,hellin,38.5106,-1.701,15.64,73,100,2.42,ES,1714965347
135,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,78,75,6.0,RU,1714965347
136,ribeira grande,38.5167,-28.7,18.21,96,100,7.15,PT,1714965245
137,baloda bazar,21.6667,82.1667,36.04,16,76,4.12,IN,1714965348
138,harstad,68.799,16.5293,3.42,85,6,7.6,NO,1714965349
139,martuk,50.7475,56.5056,6.96,52,0,4.74,KZ,1714965349
140,vernon,50.2581,-119.2691,13.06,58,100,2.29,CA,1714965350
141,spring creek,40.7266,-115.5859,2.12,83,100,0.89,US,1714965266
142,iskateley,67.6803,53.1512,-7.21,88,87,1.79,RU,1714965351
143,picos,-7.0769,-41.4669,23.17,86,56,0.61,BR,1714965200
144,chernogorsk,53.8236,91.2842,14.76,67,0,5.0,RU,1714965352
145,keelung,25.1283,121.7419,31.64,70,25,6.33,TW,1714965352
146,mil'kovo,55.6078,37.7956,5.19,71,45,2.8,RU,1714965292
147,la plata,-34.9215,-57.9545,18.35,99,100,2.09,AR,1714965121
148,aykhal,66.0,111.5,-0.48,95,100,5.32,RU,1714965354
149,hirara,24.8,125.2833,26.89,84,100,5.83,JP,1714965057
150,college,64.8569,-147.8028,14.99,40,75,6.69,US,1714965355
151,tchintabaraden,15.8969,5.7985,31.5,18,1,3.28,NE,1714965355
152,rocky mountain house,52.3668,-114.9188,6.59,83,95,5.25,CA,1714965356
153,mugia,43.1041,-9.2179,8.84,76,5,1.85,ES,1714965356
154,luwuk,-0.9516,122.7875,27.25,86,79,1.4,ID,1714965356
155,port lincoln,-34.7333,135.8667,16.69,71,2,5.46,AU,1714965241
156,crane,31.3974,-102.3501,22.63,76,5,6.58,US,1714965358
157,qaqortoq,60.7167,-46.0333,-0.61,66,0,2.16,GL,1714965308
